idx_er,Susceptible: 0-9,Exposed: 0-9,Infected (symptomatic): 0-9,Asymptomatically Infected: 0-9,Recovered: 0-9,Hospitalised: 0-9,Critical: 0-9,Deaths: 0-9,Offsite: 0-9,Quarantined: 0-9,No ICU Care: 0-9,Susceptible: 10-19,Exposed: 10-19,Infected (symptomatic): 10-19,Asymptomatically Infected: 10-19,Recovered: 10-19,Hospitalised: 10-19,Critical: 10-19,Deaths: 10-19,Offsite: 10-19,Quarantined: 10-19,No ICU Care: 10-19,Susceptible: 20-29,Exposed: 20-29,Infected (symptomatic): 20-29,Asymptomatically Infected: 20-29,Recovered: 20-29,Hospitalised: 20-29,Critical: 20-29,Deaths: 20-29,Offsite: 20-29,Quarantined: 20-29,No ICU Care: 20-29,Susceptible: 30-39,Exposed: 30-39,Infected (symptomatic): 30-39,Asymptomatically Infected: 30-39,Recovered: 30-39,Hospitalised: 30-39,Critical: 30-39,Deaths: 30-39,Offsite: 30-39,Quarantined: 30-39,No ICU Care: 30-39,Susceptible: 40-49,Exposed: 40-49,Infected (symptomatic): 40-49,Asymptomatically Infected: 40-49,Recovered: 40-49,Hospitalised: 40-49,Critical: 40-49,Deaths: 40-49,Offsite: 40-49,Quarantined: 40-49,No ICU Care: 40-49,Susceptible: 50-59,Exposed: 50-59,Infected (symptomatic): 50-59,Asymptomatically Infected: 50-59,Recovered: 50-59,Hospitalised: 50-59,Critical: 50-59,Deaths: 50-59,Offsite: 50-59,Quarantined: 50-59,No ICU Care: 50-59,Susceptible: 60-69,Exposed: 60-69,Infected (symptomatic): 60-69,Asymptomatically Infected: 60-69,Recovered: 60-69,Hospitalised: 60-69,Critical: 60-69,Deaths: 60-69,Offsite: 60-69,Quarantined: 60-69,No ICU Care: 60-69,Susceptible: 70+,Exposed: 70+,Infected (symptomatic): 70+,Asymptomatically Infected: 70+,Recovered: 70+,Hospitalised: 70+,Critical: 70+,Deaths: 70+,Offsite: 70+,Quarantined: 70+,No ICU Care: 70+,Time,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,Offsite,Quarantined,No ICU Care,Change in Susceptible,Change in Exposed,Change in Infected (symptomatic),Change in Asymptomatically Infected,Change in Recovered,Change in Hospitalised,Change in Critical,Change in Deaths,Change in Offsite,Change in Quarantined,Change in No ICU Care,Change in total active infections,R0,latentRate,removalRate,hospRate,deathRateICU,deathRateNoIcu
1,0.210488743,0,1.13E-05,1.13E-05,0,0,0,0,0,0,0,0.173390727,0,9.27E-06,9.27E-06,0,0,0,0,0,0,0,0.263485909,0,1.41E-05,1.41E-05,0,0,0,0,0,0,0,0.171590824,0,9.18E-06,9.18E-06,0,0,0,0,0,0,0,0.092395059,0,4.94E-06,4.94E-06,0,0,0,0,0,0,0,0.055497032,0,2.97E-06,2.97E-06,0,0,0,0,0,0,0,0.025398642,0,1.36E-06,1.36E-06,0,0,0,0,0,0,0,0.007699588,0,4.12E-07,4.12E-07,0,0,0,0,0,0,0,0,0.999946524,0,5.35E-05,5.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
2,0.21047808,9.53E-06,9.56E-06,9.35E-06,4.73E-06,1.66E-08,4.21E-10,1.02E-11,0,0,0,0.173376489,1.27E-05,8.40E-06,7.70E-06,3.94E-06,1.49E-08,3.74E-10,9.01E-12,0,0,0,0.263465822,1.79E-05,1.24E-05,1.19E-05,5.96E-06,2.75E-08,6.90E-10,1.67E-11,0,0,0,0.171577067,1.23E-05,8.06E-06,7.85E-06,3.87E-06,3.34E-08,8.40E-10,2.03E-11,0,0,0,0.092389212,5.22E-06,4.20E-06,4.21E-06,2.04E-06,5.22E-08,1.32E-09,3.20E-11,0,0,0,0.055494203,2.53E-06,2.47E-06,2.52E-06,1.16E-06,8.63E-08,2.19E-09,5.31E-11,0,0,0,0.023346181,5.93E-07,1.10E-06,1.13E-06,4.79E-07,8.65E-08,2.20E-09,5.36E-11,0.002051796,0,0,0.00707739,1.76E-07,3.31E-07,3.42E-07,1.22E-07,4.86E-08,1.24E-09,3.01E-11,0.000622001,0,0,1,0.997204443,6.10E-05,4.65E-05,4.50E-05,2.23E-05,3.66E-07,9.28E-09,2.25E-10,0.002673797,0,0,-0.002742081,6.10E-05,-6.93E-06,-8.47E-06,2.23E-05,3.66E-07,9.28E-09,2.25E-10,0.002673797,0,0,4.56E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
3,0.210468336,1.63E-05,9.17E-06,8.47E-06,8.91E-06,2.92E-08,1.48E-09,7.37E-11,0,0,0,0.173362942,2.23E-05,9.34E-06,7.00E-06,7.64E-06,2.79E-08,1.36E-09,6.64E-11,0,0,0,0.263446959,3.13E-05,1.30E-05,1.13E-05,1.15E-05,5.00E-08,2.47E-09,1.22E-10,0,0,0,0.171564234,2.13E-05,8.38E-06,7.66E-06,7.51E-06,6.06E-08,3.00E-09,1.48E-10,0,0,0,0.09238375,9.07E-06,4.05E-06,4.08E-06,3.89E-06,9.17E-08,4.64E-09,2.31E-10,0,0,0,0.055491568,4.38E-06,2.25E-06,2.41E-06,2.20E-06,1.48E-07,7.62E-09,3.82E-10,0,0,0,0.021293823,9.77E-07,9.14E-07,1.01E-06,8.92E-07,1.44E-07,7.56E-09,3.82E-10,0.004103591,0,0,0.006455221,2.90E-07,2.74E-07,3.07E-07,2.31E-07,8.09E-08,4.25E-09,2.15E-10,0.001244003,0,0,2,0.994466832,0.000105947,4.74E-05,4.23E-05,4.28E-05,6.33E-07,3.24E-08,1.62E-09,0.005347594,0,0,-0.002737611,4.49E-05,8.39E-07,-2.76E-06,2.05E-05,2.67E-07,2.31E-08,1.40E-09,0.002673797,0,0,4.30E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
4,0.210458363,2.20E-05,9.59E-06,8.26E-06,1.30E-05,4.00E-08,2.98E-09,2.28E-10,0,0,0,0.173348222,3.11E-05,1.14E-05,6.90E-06,1.16E-05,4.16E-08,2.87E-09,2.11E-10,0,0,0,0.263426854,4.30E-05,1.50E-05,1.17E-05,1.74E-05,7.20E-08,5.13E-09,3.84E-10,0,0,0,0.171550688,2.92E-05,9.60E-06,8.22E-06,1.14E-05,8.68E-08,6.21E-09,4.65E-10,0,0,0,0.092377971,1.24E-05,4.27E-06,4.34E-06,5.78E-06,1.26E-07,9.38E-09,7.16E-10,0,0,0,0.055488793,5.99E-06,2.21E-06,2.53E-06,3.23E-06,1.97E-07,1.51E-08,1.17E-09,0,0,0,0.019241497,1.26E-06,7.88E-07,9.62E-07,1.27E-06,1.83E-07,1.47E-08,1.15E-09,0.006155386,0,0,0.005833061,3.74E-07,2.34E-07,2.95E-07,3.33E-07,1.02E-07,8.22E-09,6.48E-10,0.001866004,0,0,3,0.991725448,0.000145355,5.32E-05,4.32E-05,6.40E-05,8.49E-07,6.46E-08,4.98E-09,0.00802139,0,0,-0.002741384,3.94E-05,5.77E-06,9.86E-07,2.12E-05,2.16E-07,3.22E-08,3.36E-09,0.002673797,0,0,4.62E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
5,0.210447386,2.74E-05,1.06E-05,8.54E-06,1.72E-05,5.03E-08,4.85E-09,5.01E-10,0,0,0,0.173331029,4.03E-05,1.44E-05,7.26E-06,1.62E-05,5.77E-08,4.95E-09,4.82E-10,0,0,0,0.263403816,5.51E-05,1.81E-05,1.29E-05,2.40E-05,9.62E-08,8.63E-09,8.61E-10,0,0,0,0.171535315,3.72E-05,1.15E-05,9.31E-06,1.58E-05,1.15E-07,1.04E-08,1.04E-09,0,0,0,0.092371393,1.59E-05,4.78E-06,4.89E-06,7.85E-06,1.59E-07,1.53E-08,1.57E-09,0,0,0,0.055485647,7.62E-06,2.31E-06,2.81E-06,4.31E-06,2.40E-07,2.41E-08,2.54E-09,0,0,0,0.017189167,1.48E-06,7.02E-07,9.61E-07,1.63E-06,2.08E-07,2.26E-08,2.46E-09,0.008207181,0,0,0.0052109,4.42E-07,2.05E-07,2.96E-07,4.34E-07,1.16E-07,1.26E-08,1.38E-09,0.002488006,0,0,4,0.988974652,0.000185369,6.26E-05,4.70E-05,8.75E-05,1.04E-06,1.04E-07,1.08E-08,0.010695187,0,0,-0.002750796,4.00E-05,9.45E-06,3.78E-06,2.35E-05,1.95E-07,3.89E-08,5.86E-09,0.002673797,0,0,5.32E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
6,0.210434796,3.33E-05,1.20E-05,9.21E-06,2.19E-05,6.12E-08,7.05E-09,9.16E-10,0,0,0,0.173310269,5.09E-05,1.83E-05,8.04E-06,2.17E-05,7.74E-08,7.68E-09,9.20E-10,0,0,0,0.263376465,6.86E-05,2.22E-05,1.48E-05,3.18E-05,1.24E-07,1.31E-08,1.62E-09,0,0,0,0.171517215,4.60E-05,1.39E-05,1.09E-05,2.10E-05,1.48E-07,1.57E-08,1.95E-09,0,0,0,0.092363625,1.97E-05,5.53E-06,5.69E-06,1.02E-05,1.95E-07,2.23E-08,2.88E-09,0,0,0,0.055481942,9.42E-06,2.53E-06,3.24E-06,5.52E-06,2.82E-07,3.43E-08,4.58E-09,0,0,0,0.015136819,1.68E-06,6.46E-07,9.91E-07,1.98E-06,2.25E-07,3.09E-08,4.33E-09,0.010258975,0,0,0.004588732,5.01E-07,1.85E-07,3.07E-07,5.34E-07,1.24E-07,1.72E-08,2.42E-09,0.003110008,0,0,5,0.986209864,0.000229963,7.53E-05,5.32E-05,0.000114731,1.24E-06,1.48E-07,1.96E-08,0.013368984,0,0,-0.002764789,4.46E-05,1.27E-05,6.19E-06,2.72E-05,1.95E-07,4.46E-08,8.79E-09,0.002673797,0,0,6.35E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
7,0.210420029,3.98E-05,1.39E-05,1.02E-05,2.71E-05,7.31E-08,9.58E-09,1.50E-09,0,0,0,0.173284856,6.35E-05,2.31E-05,9.23E-06,2.85E-05,1.02E-07,1.12E-08,1.58E-09,0,0,0,0.263343471,8.45E-05,2.72E-05,1.74E-05,4.12E-05,1.58E-07,1.85E-08,2.72E-09,0,0,0,0.171495531,5.62E-05,1.70E-05,1.29E-05,2.73E-05,1.87E-07,2.22E-08,3.27E-09,0,0,0,0.092354289,2.41E-05,6.53E-06,6.75E-06,1.30E-05,2.36E-07,3.04E-08,4.72E-09,0,0,0,0.055477501,1.15E-05,2.87E-06,3.80E-06,6.89E-06,3.27E-07,4.56E-08,7.37E-09,0,0,0,0.01308445,1.86E-06,6.12E-07,1.04E-06,2.34E-06,2.36E-07,3.90E-08,6.78E-09,0.01231077,0,0,0.003966558,5.55E-07,1.72E-07,3.24E-07,6.38E-07,1.29E-07,2.16E-08,3.79E-09,0.003732011,0,0,6,0.983426686,0.000282158,9.14E-05,6.18E-05,0.000146989,1.45E-06,1.98E-07,3.17E-08,0.016042781,0,0,-0.002783177,5.22E-05,1.61E-05,8.55E-06,3.23E-05,2.11E-07,5.01E-08,1.21E-08,0.002673797,0,0,7.68E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
8,0.210402497,4.76E-05,1.63E-05,1.16E-05,3.31E-05,8.68E-08,1.25E-08,2.27E-09,0,0,0,0.17325359,7.89E-05,2.90E-05,1.09E-05,3.68E-05,1.32E-07,1.57E-08,2.51E-09,0,0,0,0.263303397,0.000103595,3.35E-05,2.08E-05,5.26E-05,1.99E-07,2.53E-08,4.24E-09,0,0,0,0.171469342,6.85E-05,2.07E-05,1.55E-05,3.49E-05,2.34E-07,3.01E-08,5.10E-09,0,0,0,0.092342979,2.94E-05,7.80E-06,8.08E-06,1.63E-05,2.84E-07,4.00E-08,7.18E-09,0,0,0,0.055472128,1.40E-05,3.32E-06,4.53E-06,8.50E-06,3.78E-07,5.81E-08,1.10E-08,0,0,0,0.011032067,2.01E-06,5.94E-07,1.11E-06,2.71E-06,2.44E-07,4.69E-08,9.80E-09,0.014362564,0,0,0.003344379,6.02E-07,1.64E-07,3.45E-07,7.45E-07,1.32E-07,2.59E-08,5.45E-09,0.004354014,0,0,7,0.980620379,0.000344686,0.000111352,7.28E-05,0.000185642,1.69E-06,2.54E-07,4.76E-08,0.018716578,0,0,-0.002806307,6.25E-05,1.99E-05,1.11E-05,3.87E-05,2.41E-07,5.62E-08,1.58E-08,0.002673797,0,0,9.35E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
9,0.210381533,5.69E-05,1.92E-05,1.34E-05,4.01E-05,1.03E-07,1.58E-08,3.26E-09,0,0,0,0.173215064,9.77E-05,3.62E-05,1.30E-05,4.70E-05,1.68E-07,2.13E-08,3.80E-09,0,0,0,0.263254582,0.000126702,4.11E-05,2.50E-05,6.64E-05,2.48E-07,3.35E-08,6.29E-09,0,0,0,0.171437594,8.33E-05,2.52E-05,1.87E-05,4.41E-05,2.90E-07,3.98E-08,7.54E-09,0,0,0,0.092329225,3.59E-05,9.39E-06,9.74E-06,2.03E-05,3.42E-07,5.11E-08,1.04E-08,0,0,0,0.055465603,1.71E-05,3.91E-06,5.43E-06,1.04E-05,4.38E-07,7.22E-08,1.56E-08,0,0,0,0.008979683,2.14E-06,5.88E-07,1.18E-06,3.10E-06,2.50E-07,5.43E-08,1.33E-08,0.016414358,0,0,0.002722198,6.40E-07,1.60E-07,3.68E-07,8.57E-07,1.34E-07,2.98E-08,7.40E-09,0.004976016,0,0,8,0.977785481,0.00042038,0.000135778,8.68E-05,0.000232263,1.97E-06,3.18E-07,6.76E-08,0.021390374,0,0,-0.002834898,7.57E-05,2.44E-05,1.40E-05,4.66E-05,2.84E-07,6.35E-08,2.00E-08,0.002673797,0,0,0.000114113,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
10,0.210356355,6.81E-05,2.27E-05,1.56E-05,4.83E-05,1.22E-07,1.97E-08,4.50E-09,0,0,0,0.173167587,0.000120802,4.51E-05,1.58E-05,5.97E-05,2.14E-07,2.84E-08,5.54E-09,0,0,0,0.263195049,0.000154811,5.03E-05,3.03E-05,8.33E-05,3.08E-07,4.36E-08,8.99E-09,0,0,0,0.171399032,0.000101258,3.07E-05,2.26E-05,5.52E-05,3.57E-07,5.14E-08,1.07E-08,0,0,0,0.092312468,4.38E-05,1.14E-05,1.18E-05,2.51E-05,4.11E-07,6.43E-08,1.44E-08,0,0,0,0.055457659,2.08E-05,4.66E-06,6.54E-06,1.27E-05,5.11E-07,8.81E-08,2.12E-08,0,0,0,0.006927321,2.22E-06,5.88E-07,1.25E-06,3.50E-06,2.55E-07,6.14E-08,1.74E-08,0.018466152,0,0,0.002100024,6.65E-07,1.59E-07,3.91E-07,9.75E-07,1.35E-07,3.35E-08,9.63E-09,0.005598019,0,0,9,0.974915497,0.000512439,0.000165639,0.000104224,0.00028871,2.31E-06,3.90E-07,9.23E-08,0.024064171,0,0,-0.002869984,9.21E-05,2.99E-05,1.74E-05,5.64E-05,3.41E-07,7.25E-08,2.48E-08,0.002673797,0,0,0.000139303,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
